Warung_Id,Nama Warung,Deskripsi,Kategori,Koordinat,Longitude,Latitude
72,7 Clover Coffee Caravan,,Coffee shop,"-7.772043934079585, 110.40561306641119",-7.772043934,110.4056131
73,Hodai All You Can Eat Jogja,,AYCE,"-7.774026476670662, 110.40457505154198",-7.774026477,110.4045751
74,Pretty Pots Coffee & Eatery,,Coffee shop,"-7.774340068336404, 110.40473330187088",-7.774340068,110.4047333
75,Mie Ayam & Bakso Sempurna Wonogiri,,Bakso,"-7.7774197318376395, 110.40532035051689",-7.777419732,110.4053204
76,YAMIEN 69,,Mie Kuah,"-7.776872279069143, 110.4074741643537",-7.776872279,110.4074742
77,Nasi Goreng Nusantara,,Nasi Goreng,"-7.767820392579598, 110.39670384842901",-7.767820393,110.3967038
78,Burgerax Selokan Mataram,,Burger,"-7.767662265541677, 110.39809457379155",-7.767662266,110.3980946
79,Warteg Kafe Selera Bahari,,Restoran,"-7.767892147685314, 110.3981187136781",-7.767892148,110.3981187
80,Mie Ayam Tuman Selokan Mataram,,Mie Kuah,"-7.769804283911376, 110.40308214146359",-7.769804284,110.4030821
81,Bakso Mie Ayam Wong Sewu Wonogiri,,"Bakso, Mie Kuah","-7.769813572734846, 110.40189924704762",-7.769813573,110.4018992
82,Pide Turkish Pizza Yogyakarta,,Pizza,"-7.769923862464576, 110.40190394091357",-7.769923862,110.4019039
83,MarKebab,,Kebab,"-7.770513754929468, 110.40190967284192",-7.770513755,110.4019097
84,Brill Steak,,Steak,"-7.771395526333907, 110.40186243477035",-7.771395526,110.4018624
85,Mie Ayam & Bakso Mbak Reny,,"Bakso, Mie Kuah","-7.771491198993852, 110.40174307647109",-7.771491199,110.4017431
